encoding enum_invariant bool_explicit bool_invariant
instance_1 0.162710042635 0.132871937 0.14337556591
instance_2 0.21169637663500002 0.21137515150000002 0.17828393991000002
instance_3 0.207182966135 0.177662288 0.13059086491
instance_4 0.45968974913500005 0.6585561305000001 0.44439482641000005
instance_5 0.289835462135 0.596155222 0.32893253591000005
instance_6 0.496717352135 1.778723301 0.70309431491
instance_7 0.6481022736350001 1.4978993630000002 0.75191687991
instance_8 0.5211191856349999 1.2190611654999999 0.58564577191
instance_9 1.663666476135 11.3953203575 2.7699729894100003
instance_10 2.325244729135 14.6166218455 3.62425481841
