command,mean,stddev,median,user,system,min,max
cargo run --release -- -m blocksworld -v enum_invariant -i instance_1 -a seq -t 300 ,0.36888632118500003,0.003827429706526903,0.36888632118500003,0.34590816,0.022484644999999998,0.366179919685,0.37159272268500004
cargo run --release -- -m blocksworld -v enum_invariant -i instance_2 -a seq -t 300 ,0.678156542185,0.0015904959900297478,0.678156542185,0.65695616,0.027930644999999997,0.677031891685,0.6792811926850001
cargo run --release -- -m blocksworld -v enum_invariant -i instance_3 -a seq -t 300 ,0.34141751618500005,0.0035454468358982172,0.34141751618500005,0.31792266,0.030711645,0.338910506685,0.34392452568500004
cargo run --release -- -m blocksworld -v enum_invariant -i instance_4 -a seq -t 300 ,1.7482255636850002,0.04842794314960174,1.7482255636850002,1.7319721599999998,0.023974145,1.7139818366850001,1.7824692906850002
cargo run --release -- -m blocksworld -v enum_invariant -i instance_5 -a seq -t 300 ,1.263920642185,0.0016716011378318611,1.263920642185,1.23343316,0.038197145,1.262738641685,1.265102642685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_6 -a seq -t 300 ,2.927046199685,0.006375058364503118,2.927046199685,2.86793816,0.039929645,2.9225383526849997,2.931554046685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_7 -a seq -t 300 ,3.223856582685,0.006363214325918001,3.223856582685,3.19318016,0.038043645,3.219357110685,3.228356054685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_8 -a seq -t 300 ,2.408639531685,0.03145146050315254,2.408639531685,2.37869316,0.037995144999999994,2.3863999906849998,2.430879072685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_9 -a seq -t 300 ,8.478203783685,0.0019163414014017187,8.478203783685,8.44928766,0.035972645,8.476848725685,8.479558841685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_10 -a seq -t 300 ,14.646214576685,0.003595246245177852,14.646214576685,14.60600916,0.046349144999999994,14.643672353685,14.648756799685001
cargo run --release -- -m blocksworld -v enum_invariant -i instance_11 -a seq -t 300 ,19.908376990185,0.13296378001386505,19.908376990185,19.87511666,0.039989145,19.814357399685,20.002396580685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_12 -a seq -t 300 ,15.550101668185,0.033429725366703474,15.550101668185,15.528919160000001,0.027984145,15.526463282685,15.573740053685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_13 -a seq -t 300 ,21.069111565185,0.16849888258753257,21.069111565185,21.033261160000002,0.042352644999999994,20.949964862685,21.188258267685
