command,mean,stddev,median,user,system,min,max
cargo run --release -- -m blocksworld -v bool_explicit -i instance_1 -a seq -t 300 ,0.36764849580000003,0.022839894100434716,0.36764849580000003,0.34620106500000003,0.029635369999999998,0.3514982518,0.3837987398
cargo run --release -- -m blocksworld -v bool_explicit -i instance_2 -a inc -t 300 ,0.20599896480000002,0.002213816981606663,0.20599896480000002,0.18775356499999998,0.026132870000000002,0.2044335598,0.2075643698
cargo run --release -- -m blocksworld -v bool_explicit -i instance_3 -a inc -t 300 ,0.1563186588,0.0021550436801679846,0.1563186588,0.127769065,0.03689587,0.15479481280000001,0.1578425048
cargo run --release -- -m blocksworld -v bool_explicit -i instance_4 -a inc -t 300 ,0.7587302848000002,0.0362509463662426,0.7587302848000002,0.738881565,0.02605987,0.7330969948000001,0.7843635748000001
cargo run --release -- -m blocksworld -v bool_explicit -i instance_5 -a inc -t 300 ,0.6204790908000001,0.009167237781431853,0.6204790908000001,0.6024220650000001,0.026079369999999998,0.6139968748000001,0.6269613068000001
cargo run --release -- -m blocksworld -v bool_explicit -i instance_6 -a inc -t 300 ,1.7538182868,0.029270255286294136,1.7538182868,1.726398065,0.03580937,1.7331210908,1.7745154828
cargo run --release -- -m blocksworld -v bool_explicit -i instance_7 -a inc -t 300 ,1.6844036483,0.021750287098353485,1.6844036483,1.660684565,0.03191787,1.6690238728,1.6997834238
cargo run --release -- -m blocksworld -v bool_explicit -i instance_8 -a inc -t 300 ,1.5481251623,0.012298030129774403,1.5481251623,1.511399065,0.02998887,1.5394291418000001,1.5568211828
cargo run --release -- -m blocksworld -v bool_explicit -i instance_9 -a inc -t 300 ,13.5951026053,0.1351526658245803,13.5951026053,13.560702065,0.04197187,13.4995352388,13.6906699718
cargo run --release -- -m blocksworld -v bool_explicit -i instance_10 -a inc -t 300 ,15.5823314343,0.05875193055041521,15.5823314343,15.545799565,0.04197487,15.5407875458,15.6238753228
cargo run --release -- -m blocksworld -v bool_explicit -i instance_11 -a inc -t 300 ,62.3840756733,1.6317330128893248,62.3840756733,62.330775065,0.052320370000000005,61.2302661948,63.5378851518
cargo run --release -- -m blocksworld -v bool_explicit -i instance_12 -a inc -t 300 ,39.6373008598,0.5038605151009131,39.6373008598,39.604212565,0.03998137,39.2810176728,39.9935840468
cargo run --release -- -m blocksworld -v bool_explicit -i instance_13 -a inc -t 300 ,51.671762216299996,0.20754243970583755,51.671762216299996,51.596708065,0.07396886999999999,51.5250075498,51.8185168828
cargo run --release -- -m blocksworld -v bool_explicit -i instance_14 -a inc -t 300 ,142.7416909913,2.7901192422301464,142.7416909913,142.63059556499996,0.09596437,140.7687787548,144.7146032278
cargo run --release -- -m blocksworld -v bool_explicit -i instance_15 -a inc -t 300 ,29.2858632558,0.14665776479470763,29.2858632558,29.214374065,0.06995587,29.1821605558,29.3895659558
cargo run --release -- -m blocksworld -v bool_explicit -i instance_16 -a inc -t 300 ,309.0384193883,1.9887087550486997,309.0384193883,308.915015565,0.09403037,307.6321899418,310.4446488348
cargo run --release -- -m blocksworld -v bool_explicit -i instance_17 -a inc -t 300 ,254.63389451529997,5.0808493739394045,254.63389451529997,254.53527356499998,0.07796787,251.0411914688,258.22659756179996
cargo run --release -- -m blocksworld -v bool_explicit -i instance_18 -a inc -t 300 ,260.4691140308,6.718144965359517,260.4691140308,260.320192065,0.12595636999999998,255.7186681688,265.21955989279996
cargo run --release -- -m blocksworld -v bool_explicit -i instance_19 -a inc -t 300 ,311.00638692629997,2.7927209115238667,311.00638692629997,310.625311565,0.28589587,309.03163503179996,312.98113882079997
cargo run --release -- -m blocksworld -v bool_explicit -i instance_20 -a inc -t 300 ,316.97586858529996,2.4323919671847403,316.97586858529996,316.664150065,0.21191737,315.25590773079995,318.6958294398
cargo run --release -- -m blocksworld -v bool_explicit -i instance_21 -a inc -t 300 ,311.43858259079997,3.7830090068027102,311.43858259079997,311.298160065,0.11995887,308.7635912688,314.11357391279995
cargo run --release -- -m blocksworld -v bool_explicit -i instance_22 -a inc -t 300 ,347.21095294229997,6.400074554377776,347.21095294229997,346.994813065,0.17832787,342.6854168248,351.73648905979996
cargo run --release -- -m blocksworld -v bool_explicit -i instance_23 -a inc -t 300 ,321.09121774179994,8.29846134575809,321.09121774179994,320.937681065,0.12196187,315.2233194508,326.95911603279995
cargo run --release -- -m blocksworld -v bool_explicit -i instance_24 -a inc -t 300 ,304.16583778129996,1.9888210860319584,304.16583778129996,303.94387806500004,0.16794037,302.7595289048,305.5721466578
