command,mean,stddev,median,user,system,min,max
cargo run --release -- -m blocksworld -v bool_invariant -i instance_1 -a seq -t 300 ,0.37195148103,0.0009539556371784427,0.37195148103,0.352736815,0.026487314999999997,0.37127693253,0.37262602953
cargo run --release -- -m blocksworld -v bool_invariant -i instance_2 -a seq -t 300 ,0.7311138905300001,0.012912755531319361,0.7311138905300001,0.708900315,0.024334815,0.7219831935300001,0.7402445875300001
cargo run --release -- -m blocksworld -v bool_invariant -i instance_3 -a seq -t 300 ,0.37563350803,0.023737558380976416,0.37563350803,0.35509781499999993,0.028346314999999997,0.35884851953,0.39241849653
cargo run --release -- -m blocksworld -v bool_invariant -i instance_4 -a seq -t 300 ,1.97559594953,0.04469069147798631,1.97559594953,1.942288815,0.040789315,1.94399485853,2.00719704053
cargo run --release -- -m blocksworld -v bool_invariant -i instance_5 -a seq -t 300 ,1.4064299370300002,0.041122707734758165,1.4064299370300002,1.3881598149999999,0.026001315,1.3773517915300002,1.4355080825300002
cargo run --release -- -m blocksworld -v bool_invariant -i instance_6 -a seq -t 300 ,3.3479137750300003,0.03018984836233387,3.3479137750300003,3.325173315,0.030041315,3.3265663285300002,3.36926122153
cargo run --release -- -m blocksworld -v bool_invariant -i instance_7 -a seq -t 300 ,3.62994785503,0.025662069694128174,3.62994785503,3.5994268149999997,0.038292315,3.6118020315300003,3.64809367853
cargo run --release -- -m blocksworld -v bool_invariant -i instance_8 -a seq -t 300 ,2.60759276903,0.007838792736082952,2.60759276903,2.5879258149999997,0.025943815,2.60204990553,2.61313563253
cargo run --release -- -m blocksworld -v bool_invariant -i instance_9 -a seq -t 300 ,10.307060351530001,0.028869902740494047,10.307060351530001,10.270373815,0.041957314999999995,10.286646247530001,10.32747445553
cargo run --release -- -m blocksworld -v bool_invariant -i instance_10 -a seq -t 300 ,18.11093005853,0.014922597662398444,18.11093005853,18.061037315,0.05194431499999999,18.100378188529998,18.12148192853
cargo run --release -- -m blocksworld -v bool_invariant -i instance_11 -a seq -t 300 ,23.94337344153,0.18463960532370471,23.94337344153,23.889010815,0.054297315,23.81281352453,24.07393335853
cargo run --release -- -m blocksworld -v bool_invariant -i instance_12 -a seq -t 300 ,19.03963265453,0.002140101099669457,19.03963265453,18.983843815,0.058305314999999996,19.038119374529998,19.04114593453
cargo run --release -- -m blocksworld -v bool_invariant -i instance_13 -a seq -t 300 ,24.72645098603,0.13821449192723376,24.72645098603,24.671534815,0.057963815,24.62871858153,24.82418339053
cargo run --release -- -m blocksworld -v bool_invariant -i instance_14 -a seq -t 300 ,31.71578249503,0.032559733710043136,31.71578249503,31.664752815,0.052293814999999993,31.69275928653,31.738805703529998
cargo run --release -- -m blocksworld -v bool_invariant -i instance_15 -a seq -t 300 ,18.31507577653,0.06548396965208016,18.31507577653,18.264945315,0.053942315,18.26877161753,18.36137993553
cargo run --release -- -m blocksworld -v bool_invariant -i instance_16 -a seq -t 300 ,121.79872811553,2.6419435009026557,121.79872811553,121.684129815,0.107953815,119.93059195053,123.66686428052999
cargo run --release -- -m blocksworld -v bool_invariant -i instance_17 -a seq -t 300 ,107.07529129653,0.3208961150383058,107.07529129653,106.969290315,0.10195481499999999,106.84838347752999,107.30219911553
cargo run --release -- -m blocksworld -v bool_invariant -i instance_18 -a seq -t 300 ,85.52598929052999,1.3164369834468075,85.52598929052999,85.448268315,0.075958315,84.59512777252999,86.45685080852999
cargo run --release -- -m blocksworld -v bool_invariant -i instance_19 -a seq -t 300 ,285.64532048353,0.4474740992711749,285.64532048353,285.44763531499996,0.16794131499999998,285.32890851353,285.96173245353
cargo run --release -- -m blocksworld -v bool_invariant -i instance_20 -a seq -t 300 ,244.42084499303002,0.7600776994361964,244.42084499303002,244.263857315,0.141953315,243.88338889753,244.95830108853002
